date,time,Ch0,Ch1
07/08/2026,20:20:06,Open,21.521
07/08/2026,20:20:08,Open,21.504
07/08/2026,20:20:10,Open,21.521
07/08/2026,20:20:12,Open,21.495
07/08/2026,20:20:14,Open,21.494
07/08/2026,20:20:16,Open,21.492
07/08/2026,20:20:18,Open,21.493
07/08/2026,20:20:20,Open,21.508
07/08/2026,20:20:22,Open,21.493
07/08/2026,20:20:24,Open,21.483
07/08/2026,20:20:26,Open,21.473
07/08/2026,20:20:28,Open,21.471
07/08/2026,20:20:30,Open,21.45
07/08/2026,20:20:32,Open,21.444
07/08/2026,20:20:34,Open,21.451
07/08/2026,20:20:36,Open,21.198
07/08/2026,20:20:38,Open,21.394
07/08/2026,20:20:40,Open,21.404
07/08/2026,20:20:42,Open,21.398
07/08/2026,20:20:44,Open,21.404
07/08/2026,20:20:46,Open,21.402
07/08/2026,20:20:48,Open,21.408
07/08/2026,20:20:50,Open,21.409
07/08/2026,20:20:52,Open,21.414
07/08/2026,20:20:54,Open,21.412
07/08/2026,20:20:56,Open,21.397
07/08/2026,20:20:58,Open,21.398
07/08/2026,20:21:00,Open,21.416
07/08/2026,20:21:02,Open,21.404
07/08/2026,20:21:04,Open,21.416
07/08/2026,20:21:06,Open,21.417
07/08/2026,20:21:08,Open,21.423
07/08/2026,20:21:10,Open,21.428
07/08/2026,20:21:12,Open,21.411
07/08/2026,20:21:14,Open,21.358
07/08/2026,20:21:16,Open,21.535
07/08/2026,20:21:18,Open,22.448
07/08/2026,20:21:20,Open,29.753
07/08/2026,20:21:22,Open,31.853
07/08/2026,20:21:24,Open,32.276
07/08/2026,20:21:26,Open,32.375
07/08/2026,20:21:28,Open,32.41
07/08/2026,20:21:30,Open,32.444
07/08/2026,20:21:32,Open,32.459
07/08/2026,20:21:34,Open,32.201
07/08/2026,20:21:36,Open,32.169
07/08/2026,20:21:38,Open,32.218
07/08/2026,20:21:40,Open,32.317
07/08/2026,20:21:42,Open,32.226
07/08/2026,20:21:44,Open,32.113
07/08/2026,20:21:46,Open,32.196
07/08/2026,20:21:48,Open,32.312
07/08/2026,20:21:50,Open,32.314
07/08/2026,20:21:52,Open,32.105
07/08/2026,20:21:54,Open,32.126
07/08/2026,20:21:56,Open,32.086
07/08/2026,20:21:58,Open,32.271
07/08/2026,20:22:00,Open,32.488
07/08/2026,20:22:02,Open,32.425
07/08/2026,20:22:04,Open,32.61
07/08/2026,20:22:06,Open,30.877
07/08/2026,20:22:08,Open,28.693
07/08/2026,20:22:10,Open,27.241
07/08/2026,20:22:12,Open,25.918
07/08/2026,20:22:14,Open,24.958
07/08/2026,20:22:16,Open,24.294
07/08/2026,20:22:18,Open,23.973
07/08/2026,20:22:20,Open,24.414
07/08/2026,20:22:22,Open,24.442
07/08/2026,20:22:24,Open,24.304
07/08/2026,20:22:26,Open,24.075
07/08/2026,20:22:28,Open,23.847
07/08/2026,20:22:30,Open,23.492
07/08/2026,20:22:32,Open,23.272
07/08/2026,20:22:34,Open,23.128
07/08/2026,20:22:36,Open,23.015
07/08/2026,20:22:38,Open,22.931
07/08/2026,20:22:40,Open,23.268
07/08/2026,20:22:42,Open,23.423
07/08/2026,20:22:44,Open,23.236
07/08/2026,20:22:46,Open,23.292
07/08/2026,20:22:48,Open,23.651
07/08/2026,20:22:50,Open,24.266
07/08/2026,20:22:52,Open,24.712
07/08/2026,20:22:54,Open,25.319
07/08/2026,20:22:56,Open,24.774
07/08/2026,20:22:58,Open,24.32
07/08/2026,20:23:00,Open,24.416
07/08/2026,20:23:02,Open,24.553
07/08/2026,20:23:04,Open,24.866
07/08/2026,20:23:06,Open,24.758
07/08/2026,20:23:08,Open,24.557
07/08/2026,20:23:10,Open,24.082
07/08/2026,20:23:12,Open,23.772
07/08/2026,20:23:14,Open,24.015
07/08/2026,21:02:18,21.681,22.399,Open
07/08/2026,21:02:19,21.672,22.422,Open
07/08/2026,21:02:20,21.66,22.456,Open
07/08/2026,21:02:21,21.653,22.452,Open
07/08/2026,21:02:22,21.646,22.464,Open
07/08/2026,21:02:23,21.628,22.48,Open
07/08/2026,21:02:24,21.634,22.501,Open
07/08/2026,21:02:25,21.62,22.566,Open
07/08/2026,21:02:26,21.615,22.575,Open
07/08/2026,21:02:27,21.616,22.562,Open
07/08/2026,21:02:28,21.675,22.54,Open
07/08/2026,21:02:29,21.691,22.553,Open
07/08/2026,21:02:30,21.687,22.478,Open
07/08/2026,21:02:31,21.676,22.457,Open
07/08/2026,21:02:32,21.662,22.44,Open
07/08/2026,21:02:33,21.638,22.468,Open
07/08/2026,21:02:34,21.624,22.414,Open
07/08/2026,21:02:35,21.625,22.377,Open
07/08/2026,21:02:36,21.63,22.338,Open
07/08/2026,21:02:37,21.625,22.342,Open
07/08/2026,21:02:38,21.611,22.351,Open
07/08/2026,21:02:39,21.61,22.394,Open
07/08/2026,21:02:40,21.605,22.417,Open
07/08/2026,21:02:41,21.61,22.402,Open
07/08/2026,21:02:42,21.609,22.356,Open
07/08/2026,21:02:43,21.606,22.306,Open
07/08/2026,21:02:44,21.6,22.253,Open
07/08/2026,21:02:45,21.604,22.224,Open
07/08/2026,21:02:46,21.614,22.208,Open
07/08/2026,21:02:47,21.595,22.189,Open
07/08/2026,21:02:48,21.608,22.187,Open
